taxon	date	lineage	rename	country	conflict	ambiguity_score	scorpio_call	scorpio_support	scorpio_conflict	scorpio_notes	version	pangolin_version	scorpio_version	constellation_version	is_designated	qc_status	qc_notes	note
hCoV-19|Thailand|A21950|2020|EPI_ISL_3892173|2020-10-26	2020-10-26	B.1.1.303	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.303(1/1)
hCoV-19|Curacao|CW-RIVM-21609|2021|EPI_ISL_1522086|2021-03-19	2021-03-19	B.1.427	Others	Other	0		Epsilon (B.1.427-like)	0,92	0	scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.427(1/1)
hCoV-19|New_Zealand|21CV2000|2021|EPI_ISL_6827862|2021-11-02	2021-11-02	AY.39.1.1	Delta	Other	0		Delta (B.1.617.2-like)	1	0	scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: AY.39.1.1(1/1)
hCoV-19|New_Zealand|20VR2108|2020|EPI_ISL_456377|2020-04-15	2020-04-15	B.29	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Bulgaria|21BG-NC_A000009|2020|EPI_ISL_2081878|2020-07-08	2020-07-08	B.1.1.187	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.187(1/1)
hCoV-19|Russia|ME-RII-MH38757S|2021|EPI_ISL_6831944|2021-09-25	2021-09-25	AY.122	Delta	Other	0		Delta (B.1.617.2-like)	1	0	scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: AY.122(1/1)
hCoV-19|Austria|CeMM0109|2020|EPI_ISL_437968|2020-03-12	2020-03-12	B.1	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Peru|TUM-INS-3134|2021|EPI_ISL_3826899|2021-06-05	2021-06-05	C.37	Others	Other	0		Lambda (C.37-like)	0,95	0	scorpio call: Alt alleles 18; Ref alleles 0; Amb alleles 0; Oth alleles 1	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: C.37(2/2)
hCoV-19|Guatemala|ASI01004|2020|EPI_ISL_3156043|2020-07-11	2020-07-11	B.1	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: B.1(1/1)
hCoV-19|Guatemala|GUA-LNS-47753|2020|EPI_ISL_2827829|2020-10-02	2020-10-02	B.1	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.06	Usher placements: B.1(2/2)
hCoV-19|Serbia|Belgrade-1775983012|2020|EPI_ISL_3163940|2020-12-30	2020-12-30	B.1.160	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.160(1/1)
hCoV-19|North_Macedonia|27404|2020|EPI_ISL_942966|2020-12-12	2020-12-12	B.1.1.70	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Curacao|CW-RIVM-60526|2021|EPI_ISL_4839872|2021-09-10	2021-09-10	AY.9.2	Delta	Other	0		Delta (B.1.617.2-like)	1	0	scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|cat|Argentina|PAIS-C0164|2021|EPI_ISL_4875726|2021-05-10	2021-05-10	B.1.1.7	Alpha	Other	0		Alpha (B.1.1.7-like)	0,91	0,04	scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.07	Usher placements: B.1.1.7(2/2)
hCoV-19|USA|CA-CDC-LC0962211|2022|EPI_ISL_16293567|2022-12-14	2022-12-14	BF.7.4.1	Others	Other	0		Omicron (BA.5-like)	0,97	0,02	scorpio call: Alt alleles 59; Ref alleles 1; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BF.7.4.1(1/1)
hCoV-19|Seychelles|G38725|2021|EPI_ISL_4880535|2021-02-05	2021-02-05	B.1.351	Others	Other	0		Beta (B.1.351-like)	0,79	0	scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 1; Oth alleles 2	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.1	Usher placements: B.1.351(1/1)
hCoV-19|Eswatini|N47835|2022|EPI_ISL_14501279|2022-06-02	2022-06-02	BA.5.2	Omicron-BA.5	Other	0		Omicron (BA.5-like)	0,97	0,02	scorpio call: Alt alleles 59; Ref alleles 1; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.06	Usher placements: BA.5.2(1/1)
hCoV-19|Antigua_and_Barbuda|151929|2022|EPI_ISL_14499740|2022-05-05	2022-05-05	BA.2.21	Omicron-BA.2	Other	0		Omicron (BA.2-like)	0,97	0,03	scorpio call: Alt alleles 62; Ref alleles 2; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.2.21(1/1)
hCoV-19|Aruba|AW-RIVM-121148|2022|EPI_ISL_16296221|2022-11-21	2022-11-21	BQ.1.2	Others	Other	0		Omicron (Unassigned)	0,97	0,03	scorpio call: Alt alleles 32; Ref alleles 1; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|USA|SD-SDPHL-2361|2022|EPI_ISL_16297149|2022-11-30	2022-11-30	BA.5.2.6	Omicron-BA.5	Other	0,5		Omicron (Unassigned)	0,97	0,03	scorpio call: Alt alleles 32; Ref alleles 1; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.04	Assigned from designation hash.
hCoV-19|Croatia|32106|2022|EPI_ISL_11268908|2022-02-23	2022-02-23	BA.1.1	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,88	0	scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.1.1(2/2)
hCoV-19|Sint_Maarten|SX-RIVM-100529|2022|EPI_ISL_12953455|2022-05-04	2022-05-04	BA.2.13	Omicron-BA.2	Other	0		Omicron (BA.2-like)	1	0	scorpio call: Alt alleles 64; Ref alleles 0; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Italy|EMR_AUSLRomagna_C094-22-05|2022|EPI_ISL_15247536|2022-09-19	2022-09-19	BA.5.2.1	Omicron-BA.5	Other	0		Omicron (BA.5-like)	0,97	0,02	scorpio call: Alt alleles 59; Ref alleles 1; Amb alleles 0; Oth alleles 1	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.5.2.1(2/2)
hCoV-19|South_Africa|NICD-R13155|2021|EPI_ISL_4891867|2021-09-01	2021-09-01	AY.45	Delta	Other	0		Delta (B.1.617.2-like)	0,92	0	scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Aruba|AW-RIVM-101176|2022|EPI_ISL_12954102|2022-05-16	2022-05-16	BA.2.12.1	Omicron-BA.2	Other	0		Omicron (BA.2-like)	1	0	scorpio call: Alt alleles 64; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.2.12.1(1/1)
hCoV-19|USA|ND-CDC-2-5972455|2022|EPI_ISL_12959161|2022-04-25	2022-04-25	BA.2	Omicron-BA.2	Other	0		Omicron (BA.2-like)	1	0	scorpio call: Alt alleles 64; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.2(1/1)
hCoV-19|Suriname|SR-983|2022|EPI_ISL_11283845|2022-02-13	2022-02-13	BA.1.1	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,88	0	scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: BA.1.1(1/1)
hCoV-19|Croatia|52093_ID1647_10|2020|EPI_ISL_989241|2020-03-22	2020-03-22	B.1	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Norway|5777|2020|EPI_ISL_708169|2020-11-18	2020-11-18	B.1.258	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|New_Zealand|21MV3751|2021|EPI_ISL_8189011|2021-12-24	2021-12-24	AY.39.1.1	Delta	Other	0		Delta (B.1.617.2-like)	1	0	scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: AY.39.1.1(1/1)
hCoV-19|Germany|NW-RKI-I-080102|2021|EPI_ISL_1644800|2021-04-10	2021-04-10	B.1.1.7	Alpha	Other	0		Alpha (B.1.1.7-like)	0,96	0,04	scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.7(1/1)
hCoV-19|Tunisia|A-3744|2021|EPI_ISL_10101186|2021-07-25	2021-07-25	B.1.1.50	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: B.1.1.50(1/1)
hCoV-19|Germany|NW-RKI-I-831605|2022|EPI_ISL_13013134|2022-05-16	2022-05-16	BA.2.44	Omicron-BA.2	Other	0		Omicron (BA.2-like)	0,95	0,03	scorpio call: Alt alleles 61; Ref alleles 2; Amb alleles 0; Oth alleles 1	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.2.44(1/1)
hCoV-19|Guatemala|9338-LNS|2022|EPI_ISL_15887170|2022-11-07	2022-11-07	BU.3	Others	Other	0		Omicron (BA.5-like)	0,95	0,03	scorpio call: Alt alleles 58; Ref alleles 2; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BU.3(1/1)
hCoV-19|Cabo_Verde|2671|2022|EPI_ISL_11270663|2022-01-04	2022-01-04	BA.1.17.2	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,88	0,02	scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 3; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: BA.1.17.2(2/2)
hCoV-19|Mexico|OAX-INMEGEN-89-58|2022|EPI_ISL_14615220|2022-08-06	2022-08-06	BA.5.1.6	Omicron-BA.5	Other	0		Omicron (BA.5-like)	0,98	0,02	scorpio call: Alt alleles 60; Ref alleles 1; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.5.1.6(1/1)
hCoV-19|USA|NJ-CDC-ASC210027416|2021|EPI_ISL_1688369|2021-03-30	2021-03-30	B.1.637	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.637(1/1)
hCoV-19|Australia|QLD0x00EC65|2022|EPI_ISL_13040750|2022-05-18	2022-05-18	BA.2	Omicron-BA.2	Other	0		Omicron (BA.2-like)	1	0	scorpio call: Alt alleles 64; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.2(2/2)
hCoV-19|New_Zealand|22CH1990|2022|EPI_ISL_11331443|2022-03-14	2022-03-14	BA.1.1.9	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,81	0	scorpio call: Alt alleles 48; Ref alleles 0; Amb alleles 9; Oth alleles 2	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.08	Usher placements: BA.1.1.9(1/1)
hCoV-19|Lesotho|N4811|2021|EPI_ISL_13037720|2021-02-25	2021-02-25	B.1.351	Others	Other	0		Beta (B.1.351-like)	0,71	0,07	scorpio call: Alt alleles 10; Ref alleles 1; Amb alleles 3; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.04	Usher placements: B.1.351(1/1)
hCoV-19|USA|NV-NSPHL-NV2025791|2020|EPI_ISL_1263142|2020-09-03	2020-09-03	B.1.243	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.06	Usher placements: B.1.243(1/1)
hCoV-19|Denmark|DCGC-122720|2021|EPI_ISL_2819452|2021-06-29	2021-06-29	AY.122	Delta	Other	0		Delta (B.1.617.2-like)	0,85	0	scorpio call: Alt alleles 11; Ref alleles 0; Amb alleles 1; Oth alleles 1	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|India|PB-ICMR-NIV-INSACOG-GSEQ-606|2021|EPI_ISL_1703963|2021-02-09	2021-02-09	B.1.1.7	Alpha	Other	0		Alpha (B.1.1.7-like)	0,83	0,04	scorpio call: Alt alleles 19; Ref alleles 1; Amb alleles 3; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.7(1/1)
hCoV-19|Egypt|CPHL-EGY22694|2022|EPI_ISL_16299803|2022-11-25	2022-11-25	XBB.1	Recombinant	Other	0		Omicron (Unassigned)	0,88	0	scorpio call: Alt alleles 29; Ref alleles 0; Amb alleles 3; Oth alleles 1	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: XBB.1(1/1); scorpio found insufficient support to assign a specific lineage
hCoV-19|Kenya|SS11234|2022|EPI_ISL_16299912|2022-12-07	2022-12-07	BQ.1.1	Others	Other	0		Omicron (Unassigned)	0,97	0,03	scorpio call: Alt alleles 32; Ref alleles 1; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.07	Usher placements: BQ.1.1(1/1); scorpio found insufficient support to assign a specific lineage
hCoV-19|Kenya|C120698|2022|EPI_ISL_16299926|2022-12-05	2022-12-05	BQ.1	Others	Other	0		Omicron (Unassigned)	0,94	0,03	scorpio call: Alt alleles 31; Ref alleles 1; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.09	Usher placements: BQ.1(1/1); scorpio found insufficient support to assign a specific lineage
hCoV-19|Qatar|QA-WCMQ_FD18190000|2020|EPI_ISL_1714479|2020-07-09	2020-07-09	B.1.428	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.428(1/1)
hCoV-19|Argentina|INEI097815|2020|EPI_ISL_856775|2020-12-03	2020-12-03	B.1.499	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|USA|MS-UMMC-M876C5-536491|2022|EPI_ISL_14706246|2022-08-11	2022-08-11	BA.5.1.23	Omicron-BA.5	Other	0		Omicron (Unassigned)	0,97	0,03	scorpio call: Alt alleles 32; Ref alleles 1; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.05	Assigned from designation hash.
hCoV-19|Mauritanie|395978|2021|EPI_ISL_11380687|2021-09-06	2021-09-06	AY.34.1	Delta	Other	0		Delta (B.1.617.2-like)	1	0	scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: AY.34.1(1/1)
hCoV-19|Sao_Tome_and_Principe|1457|2021|EPI_ISL_14710813|2021-12-29	2021-12-29	BA.1	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,93	0	scorpio call: Alt alleles 55; Ref alleles 0; Amb alleles 1; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.04	Usher placements: BA.1(1/1)
hCoV-19|Equatorial_Guinea|0014|2022|EPI_ISL_14710808|2022-01-15	2022-01-15	BA.1	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,93	0	scorpio call: Alt alleles 55; Ref alleles 0; Amb alleles 1; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.04	Usher placements: BA.1(1/1)
hCoV-19|Morocco|IPM20412350|2022|EPI_ISL_12590767|2022-02-16	2022-02-16	BA.1	Omicron-BA.1	Other	0,5		Omicron (BA.1-like)	0,92	0	scorpio call: Alt alleles 54; Ref alleles 0; Amb alleles 2; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.1(1/2) BA.1.14(1/2)
hCoV-19|USA|NV-SNPHL-611885|2022|EPI_ISL_13099609|2022-05-16	2022-05-16	BA.2.12.1	Omicron-BA.2	Other	0		Omicron (BA.2-like)	0,94	0	scorpio call: Alt alleles 60; Ref alleles 0; Amb alleles 4; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.06	Assigned from designation hash.
hCoV-19|Panama|M223834-GMI|2022|EPI_ISL_13105288|2022-03-31	2022-03-31	BA.1.1.16	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,9	0,03	scorpio call: Alt alleles 53; Ref alleles 2; Amb alleles 1; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.03	Usher placements: BA.1.1.16(1/1)
hCoV-19|France|IDF-HMN-21032230441|2021|EPI_ISL_1754466|2021-03-15	2021-03-15	B.1.1.7	Alpha	Other	0		Alpha (B.1.1.7-like)	0,91	0,04	scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 1; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.7(1/1)
hCoV-19|Brunei|7722018443|2022|EPI_ISL_16305385|2022-12-09	2022-12-09	XBB.1	Recombinant	Other	0		Omicron (BA.2-like)	0,94	0,02	scorpio call: Alt alleles 60; Ref alleles 1; Amb alleles 1; Oth alleles 2	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: XBB.1(1/1); scorpio lineage BA.2 conflicts with inference lineage XBB.1
hCoV-19|Russia|StPetersburg-RII4970S|2020|EPI_ISL_430077|2020-04-10	2020-04-10	B.1.1	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Malaysia|IMR_WC401666|2021|EPI_ISL_3247768|2021-07-05	2021-07-05	AY.79	Delta	Other	0		Delta (B.1.617.2-like)	1	0	scorpio call: Alt alleles 13; Ref alleles 0; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Aruba|AW-RIVM-109565|2022|EPI_ISL_14773641|2022-08-04	2022-08-04	BA.5.2.16	Omicron-BA.5	Other	0		Omicron (BA.5-like)	0,98	0,02	scorpio call: Alt alleles 60; Ref alleles 1; Amb alleles 0; Oth alleles 0	PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Sweden|4073086364|2022|EPI_ISL_14789451|2022-08-23	2022-08-23	BA.5.2	Omicron-BA.5	Other	0		Omicron (BA.5-like)	0,97	0,03	scorpio call: Alt alleles 59; Ref alleles 2; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.5.2(3/3)
hCoV-19|Luxembourg|LNS1689160|2020|EPI_ISL_739978|2020-06-28	2020-06-28	B.1.1.198	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|Romania|DJ_512427|2022|EPI_ISL_13134450|2022-03-21	2022-03-21	BA.2	Omicron-BA.2	Other	0		Omicron (BA.2-like)	1	0	scorpio call: Alt alleles 64; Ref alleles 0; Amb alleles 0; Oth alleles 0	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.2(1/1)
hCoV-19|Switzerland|ZH-UZH-1000478554|2020|EPI_ISL_524479|2020-03-03	2020-03-03	B.1.1	Others	Other	0						PANGO-v1.19	4,2	0.3.17	v0.1.10	TRUE	pass	Ambiguous_content:0.02	Assigned from designation hash.
hCoV-19|USA|NH-ASC-210991246|2022|EPI_ISL_16309825|2022-12-14	2022-12-14	XBB.1.5	Recombinant	Other	0,333333333		Omicron (BA.2-like)	0,95	0,02	scorpio call: Alt alleles 61; Ref alleles 1; Amb alleles 0; Oth alleles 2	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: XBB.1.22(1/3) XBB.1.5(2/3); scorpio lineage BA.2 conflicts with inference lineage XBB.1.5
hCoV-19|Paraguay|443101|2022|EPI_ISL_13156395|2022-04-04	2022-04-04	BA.1	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,83	0,02	scorpio call: Alt alleles 49; Ref alleles 1; Amb alleles 6; Oth alleles 3	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.06	Usher placements: BA.1(1/1)
hCoV-19|Chile|RM-33573|2022|EPI_ISL_11406858|2022-03-02	2022-03-02	BA.1.1	Omicron-BA.1	Other	0		Omicron (BA.1-like)	0,88	0,02	scorpio call: Alt alleles 52; Ref alleles 1; Amb alleles 1; Oth alleles 5	PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: BA.1.1(2/2)
hCoV-19|Mongolia|181851|2020|EPI_ISL_1805745|2020-12-26	2020-12-26	B.1.1.46	Others	Other	0						PUSHER-v1.19	4,2	0.3.17	v0.1.10	FALSE	pass	Ambiguous_content:0.02	Usher placements: B.1.1.46(1/1)
